,l1,age,sex,aoa,method,n_years,id,id2,group,langgroup,native,color,username,language,nativeness,usuk
3317,dutch,35.0,female,12.0,academic,0.1,896,dutch8,dutch,germanic,False,#b2df8a,gmu00896,dutch,nonnative,nonnative
3371,dutch,54.0,female,13.0,academic,11.0,770,dutch5,dutch,germanic,False,#b2df8a,gmu00770,dutch,nonnative,nonnative
3828,dutch,23.0,female,13.0,academic,0.0,1266,dutch22,dutch,germanic,False,#b2df8a,gmu01266,dutch,nonnative,nonnative
4534,dutch,21.0,female,13.0,academic,0.0,1265,dutch21,dutch,germanic,False,#b2df8a,gmu01265,dutch,nonnative,nonnative
2586,dutch,23.0,female,12.0,academic,0.0,1260,dutch16,dutch,germanic,False,#b2df8a,gmu01260,dutch,nonnative,nonnative
4232,dutch,42.0,female,12.0,academic,6.0,2249,dutch49,dutch,germanic,False,#b2df8a,gmu02249,dutch,nonnative,nonnative
3680,dutch,21.0,female,12.0,academic,0.0,1740,dutch44,dutch,germanic,False,#b2df8a,gmu01740,dutch,nonnative,nonnative
4323,dutch,23.0,female,13.0,academic,0.0,1463,dutch31,dutch,germanic,False,#b2df8a,gmu01463,dutch,nonnative,nonnative
3048,dutch,22.0,female,11.0,academic,0.0,1263,dutch19,dutch,germanic,False,#b2df8a,gmu01263,dutch,nonnative,nonnative
2717,dutch,33.0,female,10.0,academic,0.5,1003,dutch13,dutch,germanic,False,#b2df8a,gmu01003,dutch,nonnative,nonnative
2641,dutch,36.0,male,10.0,academic,0.5,956,dutch12,dutch,germanic,False,#b2df8a,gmu00956,dutch,nonnative,nonnative
3052,dutch,25.0,male,9.0,academic,0.0,1484,dutch40,dutch,germanic,False,#b2df8a,gmu01484,dutch,nonnative,nonnative
3267,dutch,23.0,male,14.0,academic,0.0,1262,dutch18,dutch,germanic,False,#b2df8a,gmu01262,dutch,nonnative,nonnative
4350,dutch,36.0,male,8.0,academic,13.5,1551,dutch42,dutch,germanic,False,#b2df8a,gmu01551,dutch,nonnative,nonnative
3410,dutch,21.0,male,11.0,academic,0.5,1705,dutch43,dutch,germanic,False,#b2df8a,gmu01705,dutch,nonnative,nonnative
3967,dutch,22.0,male,2.0,naturalistic,0.0,1742,dutch45,dutch,germanic,False,#b2df8a,gmu01742,dutch,nonnative,nonnative
2559,dutch,35.0,male,9.5,academic,0.0,2261,dutch50,dutch,germanic,False,#b2df8a,gmu02261,dutch,nonnative,nonnative
2442,dutch,21.0,male,14.0,academic,0.0,1464,dutch32,dutch,germanic,False,#b2df8a,gmu01464,dutch,nonnative,nonnative
4135,dutch,23.0,male,13.0,academic,0.0,1268,dutch23,dutch,germanic,False,#b2df8a,gmu01268,dutch,nonnative,nonnative
2977,dutch,50.0,male,12.0,academic,6.0,2248,dutch48,dutch,germanic,False,#b2df8a,gmu02248,dutch,nonnative,nonnative
2506,english,37.0,female,0.0,naturalistic,37.0,1554,english456,english_uk,english,True,#1f78b4,gmu01554,english,native,english_uk
2976,english,22.0,female,0.0,naturalistic,22.0,1502,english440,english_uk,english,True,#1f78b4,gmu01502,english,native,english_uk
3350,english,25.0,female,0.0,naturalistic,25.0,1293,english366,english_uk,english,True,#1f78b4,gmu01293,english,native,english_uk
2963,english,42.0,female,0.0,naturalistic,42.0,773,english227,english_uk,english,True,#1f78b4,gmu00773,english,native,english_uk
4008,english,22.0,female,0.0,naturalistic,22.0,1688,english487,english_uk,english,True,#1f78b4,gmu01688,english,native,english_uk
2871,english,37.0,female,0.0,naturalistic,22.0,1108,english310,english_uk,english,True,#1f78b4,gmu01108,english,native,english_uk
2807,english,24.0,female,0.0,naturalistic,24.0,1093,english306,english_uk,english,True,#1f78b4,gmu01093,english,native,english_uk
3876,english,35.0,female,0.0,naturalistic,35.0,680,english206,english_uk,english,True,#1f78b4,gmu00680,english,native,english_uk
3322,english,35.0,female,0.0,naturalistic,35.0,1692,english488,english_uk,english,True,#1f78b4,gmu01692,english,native,english_uk
4565,english,59.0,female,0.0,naturalistic,59.0,774,english228,english_uk,english,True,#1f78b4,gmu00774,english,native,english_uk
3298,english,22.0,male,0.0,naturalistic,22.0,2081,english566,english_uk,english,True,#1f78b4,gmu02081,english,native,english_uk
4297,english,45.0,male,0.0,naturalistic,45.0,754,english221,english_uk,english,True,#1f78b4,gmu00754,english,native,english_uk
4560,english,21.0,male,0.0,naturalistic,20.0,1642,english470,english_uk,english,True,#1f78b4,gmu01642,english,native,english_uk
4540,english,43.0,male,0.0,naturalistic,43.0,1295,english368,english_uk,english,True,#1f78b4,gmu01295,english,native,english_uk
2862,english,60.0,male,0.0,naturalistic,60.0,2187,english582,english_uk,english,True,#1f78b4,gmu02187,english,native,english_uk
4466,english,34.0,male,0.0,naturalistic,34.0,1101,english308,english_uk,english,True,#1f78b4,gmu01101,english,native,english_uk
3028,english,55.0,male,0.0,naturalistic,55.0,2735,english620,english_uk,english,True,#1f78b4,gmu02735,english,native,english_uk
2869,english,60.0,male,0.0,naturalistic,60.0,2171,english578,english_uk,english,True,#1f78b4,gmu02171,english,native,english_uk
2634,english,48.0,male,0.0,naturalistic,21.0,2362,english589,english_uk,english,True,#1f78b4,gmu02362,english,native,english_uk
3170,english,38.0,male,0.0,naturalistic,38.0,772,english226,english_uk,english,True,#1f78b4,gmu00772,english,native,english_uk
2623,english,21.0,female,0.0,naturalistic,21.0,2895,english630,english_us,english,True,#a6cee3,gmu02895,english,native,english_us
2796,english,32.0,female,0.0,naturalistic,29.0,1214,english333,english_us,english,True,#a6cee3,gmu01214,english,native,english_us
4335,english,29.0,female,0.0,naturalistic,26.0,1928,english531,english_us,english,True,#a6cee3,gmu01928,english,native,english_us
2469,english,30.0,female,0.0,naturalistic,30.0,2061,english562,english_us,english,True,#a6cee3,gmu02061,english,native,english_us
4005,english,45.0,female,0.0,naturalistic,45.0,1086,english303,english_us,english,True,#a6cee3,gmu01086,english,native,english_us
2608,english,25.0,female,0.0,naturalistic,25.0,2922,english640,english_us,english,True,#a6cee3,gmu02922,english,native,english_us
4175,english,22.0,female,0.0,naturalistic,22.0,1559,english458,english_us,english,True,#a6cee3,gmu01559,english,native,english_us
2760,english,26.0,female,0.0,naturalistic,26.0,1371,english411,english_us,english,True,#a6cee3,gmu01371,english,native,english_us
3549,english,58.0,female,0.0,naturalistic,58.0,1337,english393,english_us,english,True,#a6cee3,gmu01337,english,native,english_us
4078,english,59.0,female,0.0,naturalistic,59.0,875,english261,english_us,english,True,#a6cee3,gmu00875,english,native,english_us
3721,english,21.0,male,0.0,naturalistic,21.0,2932,english645,english_us,english,True,#a6cee3,gmu02932,english,native,english_us
3993,english,51.0,male,0.0,naturalistic,48.0,2121,english572,english_us,english,True,#a6cee3,gmu02121,english,native,english_us
3420,english,26.0,male,0.0,naturalistic,26.0,737,english214,english_us,english,True,#a6cee3,gmu00737,english,native,english_us
4564,english,30.0,male,0.0,naturalistic,30.0,720,english211,english_us,english,True,#a6cee3,gmu00720,english,native,english_us
4358,english,30.0,male,0.0,naturalistic,30.0,1640,english468,english_us,english,True,#a6cee3,gmu01640,english,native,english_us
2690,english,55.0,male,0.0,naturalistic,55.0,2855,english628,english_us,english,True,#a6cee3,gmu02855,english,native,english_us
3061,english,32.0,male,0.0,naturalistic,32.0,1176,english325,english_us,english,True,#a6cee3,gmu01176,english,native,english_us
2537,english,28.0,male,0.0,naturalistic,28.0,1119,english313,english_us,english,True,#a6cee3,gmu01119,english,native,english_us
4340,english,38.0,male,0.0,naturalistic,38.0,734,english213,english_us,english,True,#a6cee3,gmu00734,english,native,english_us
4514,english,31.0,male,0.0,naturalistic,31.0,1390,english422,english_us,english,True,#a6cee3,gmu01390,english,native,english_us
4542,french,27.0,female,11.0,naturalistic,4.0,917,french26,french,romance,False,#fdbf6f,gmu00917,french,nonnative,nonnative
3252,french,23.0,female,14.0,academic,1.0,629,french14,french,romance,False,#fdbf6f,gmu00629,french,nonnative,nonnative
4199,french,53.0,female,11.0,academic,14.0,2497,french67,french,romance,False,#fdbf6f,gmu02497,french,nonnative,nonnative
3501,french,63.0,female,12.0,academic,63.0,2782,french74,french,romance,False,#fdbf6f,gmu02782,french,nonnative,nonnative
3148,french,42.0,female,11.0,academic,42.0,2787,french79,french,romance,False,#fdbf6f,gmu02787,french,nonnative,nonnative
3478,french,54.0,female,10.0,academic,26.0,1021,french29,french,romance,False,#fdbf6f,gmu01021,french,nonnative,nonnative
2705,french,32.0,female,10.0,academic,1.5,1304,french36,french,romance,False,#fdbf6f,gmu01304,french,nonnative,nonnative
3846,french,44.0,female,13.5,academic,1.0,1429,french40,french,romance,False,#fdbf6f,gmu01429,french,nonnative,nonnative
